time,open,high,low,close,volume
2025-01-01 23:00:00+00:00,2625.179,2625.839,2624.374,2624.789,662
2025-01-01 23:15:00+00:00,2624.79,2625.053,2623.565,2623.744,861
2025-01-01 23:30:00+00:00,2623.753,2623.946,2621.833,2621.833,782
2025-01-01 23:45:00+00:00,2621.809,2624.387,2621.641,2623.766,805
2025-01-02 00:00:00+00:00,2623.798,2626.194,2622.72,2625.683,1012
2025-01-02 00:15:00+00:00,2625.689,2626.467,2625.172,2626.317,866
2025-01-02 00:30:00+00:00,2626.336,2627.579,2625.406,2626.799,915
2025-01-02 00:45:00+00:00,2626.808,2627.937,2625.335,2625.373,1195
2025-01-02 01:00:00+00:00,2625.414,2630.942,2623.813,2629.634,3699
2025-01-02 01:15:00+00:00,2629.584,2632.984,2629.312,2632.507,2609
2025-01-02 01:30:00+00:00,2632.554,2634.386,2632.287,2633.404,2581
2025-01-02 01:45:00+00:00,2633.362,2633.571,2631.602,2632.921,2296
2025-01-02 02:00:00+00:00,2632.946,2634.806,2632.531,2634.53,1771
2025-01-02 02:15:00+00:00,2634.532,2636.54,2633.875,2635.581,1340
2025-01-02 02:30:00+00:00,2635.585,2635.816,2632.665,2633.479,1927
2025-01-02 02:45:00+00:00,2633.431,2635.329,2632.318,2634.701,1379
2025-01-02 03:00:00+00:00,2634.666,2635.341,2633.084,2633.087,1263
2025-01-02 03:15:00+00:00,2633.1,2634.713,2632.953,2633.384,1244
2025-01-02 03:30:00+00:00,2633.349,2634.198,2632.268,2633.383,997
2025-01-02 03:45:00+00:00,2633.382,2633.852,2632.683,2633.644,792
2025-01-02 04:00:00+00:00,2633.633,2633.698,2632.096,2632.287,846
2025-01-02 04:15:00+00:00,2632.263,2633.171,2632.073,2632.434,850
2025-01-02 04:30:00+00:00,2632.41,2632.856,2632.039,2632.176,804
2025-01-02 04:45:00+00:00,2632.189,2634.213,2631.05,2633.925,1119
2025-01-02 05:00:00+00:00,2633.924,2634.371,2633.094,2633.423,872
2025-01-02 05:15:00+00:00,2633.387,2635.368,2633.304,2634.868,904
2025-01-02 05:30:00+00:00,2634.775,2636.497,2634.506,2634.916,1405
2025-01-02 05:45:00+00:00,2634.898,2635.38,2633.939,2634.036,1255
2025-01-02 06:00:00+00:00,2633.937,2633.937,2631.455,2631.796,1458
2025-01-02 06:15:00+00:00,2631.726,2634.445,2631.203,2634.157,1131
2025-01-02 06:30:00+00:00,2634.219,2634.699,2633.316,2634.132,1113
2025-01-02 06:45:00+00:00,2634.115,2635.437,2633.568,2634.127,1185
2025-01-02 07:00:00+00:00,2634.126,2635.023,2633.511,2634.371,1213
2025-01-02 07:15:00+00:00,2634.341,2635.935,2633.566,2634.327,1116
2025-01-02 07:30:00+00:00,2634.357,2634.357,2633.001,2633.701,1193
2025-01-02 07:45:00+00:00,2633.64,2635.994,2632.992,2635.915,1122
2025-01-02 08:00:00+00:00,2635.953,2637.121,2633.959,2635.094,1662
2025-01-02 08:15:00+00:00,2635.095,2635.149,2631.333,2633.322,1744
2025-01-02 08:30:00+00:00,2633.302,2636.965,2631.123,2636.202,1644
2025-01-02 08:45:00+00:00,2636.196,2637.83,2635.367,2636.432,1468
2025-01-02 09:00:00+00:00,2636.417,2639.914,2636.417,2638.21,2010
